id ;fx_1;fx_2;fx_3;fx_4;fx_5;fx_6;fx_7;share_acum_1;share_acum_2;share_acum_3;share_acum_4;share_acum_5;share_acum_6
1;557.54;1009.45;1749.88;3178.34;4972.91;7875.17;20309.5;0.215025240813621;0.379378824507225;0.70012641911574;0.849274789124949;0.924175702070765;0.965553781928779
2;565.29;1025.37;1750.94;3179.88;5165.19;7815.51;14740.44;0.213492203098424;0.434855312837539;0.765193892550512;0.896241376655815;0.954248263109615;0.982601462496513
3;545.98;1039.27;1709.61;3204.48;5073.26;7665.94;15476.32;0.307556538444681;0.501431758007365;0.796354475126718;0.909396526648513;0.958076784708885;0.982990143138575
4;543.44;1040.05;1693.04;3228.79;5037.98;7358.79;24159.96;0.287390714069094;0.498033899098521;0.839762204347222;0.918169982213271;0.957381268224448;0.997657757084625
5;547.31;1015.49;1705.78;3170.81;5094;8045.93;17296.2;0.262272716967979;0.472056297461785;0.785183083020485;0.905180568924957;0.949892193168146;0.978871331040846
6;574.15;1019.23;1754.63;3388.26;4903.09;8136.29;18734.59;0.202726688876394;0.427102866104483;0.683949820928931;0.8285525107525;0.89910220555341;0.960803305335047
7;549.25;1032.69;1744.82;3182.04;4961.52;7584.41;14636.08;0.264461095367563;0.475164010909699;0.777809877300029;0.900927399925623;0.949143645020561;0.984897441108915
8;485.36;1009.95;1673.54;3173.16;5018.93;7830.68;16365.07;0.481755818423779;0.678328603416338;0.865182425425668;0.934188459266723;0.963409568433124;0.98283289429699
9;511.66;1027.99;1712.23;3122.58;5006.46;7722.2;15426.58;0.348328436745511;0.572521017181406;0.832373016427983;0.926371458452694;0.958653381345351;0.979714169917846
10;510.66;1027.66;1699.64;3124.1;4857.54;8140.04;17149.45;0.376779734850623;0.604407593277971;0.859448963464774;0.935754172702638;0.968637930617376;0.991201840339936
11;518.56;1034.9;1703.85;3105.88;4952.94;7724.92;15987.61;0.365242908428993;0.561626839859297;0.802751083175665;0.908105653665861;0.953074362205395;0.988448065948973
12;533.51;1022.71;1687.47;3160.07;5088.33;7893.1;15962.4;0.392860750635124;0.614645953741696;0.832767747430128;0.919796110242011;0.952226938691833;0.980033813815139
13;537.8;1028.12;1728.14;3190.81;5098.6;7872.47;18561.68;0.314369526953667;0.564823504548652;0.832647192669758;0.903710472723865;0.943690918458469;0.969911916469725
14;476.82;1007.24;1742.68;3164.97;4971.82;8275.63;15714.33;0.526194196941584;0.715308049485445;0.886541425460745;0.941891145056115;0.966996932591616;0.98545490304332
15;559.68;1023.64;1744.44;3146.01;5057.22;7853.47;16067.83;0.324108945213225;0.572391249697301;0.835958170820515;0.913284654838881;0.947937233314857;0.97732835471544
16;525.74;1037.73;1723.51;3178.18;5040.92;8022.66;17738.3;0.321685031657358;0.530661034216705;0.816687106094969;0.910488060593758;0.948216323980129;0.973963602751575
17;577.08;1041.16;1768.61;3142.91;5049.88;7748.98;21152.73;0.17543315495552;0.346944205255447;0.674347991612818;0.853911934891726;0.91710250281177;0.963549306196925
18;542.96;1035.78;1722.61;3176.17;5101.77;8012.21;19363.05;0.202168775006412;0.395889052716333;0.731320738017969;0.860680893125601;0.91969076637489;0.964009436220156
19;583.09;1028.94;1767.89;3175.03;4972.56;7711.31;19109.1;0.120444712006118;0.276009918563039;0.604996706612229;0.785392031297713;0.867646541941568;0.926435465463774
20;594.59;1043.11;1826.8;3203.81;5002.73;7899.84;16692.75;0.068420274372347;0.181895521787253;0.488492092663709;0.722279722120002;0.850932658418092;0.945334273689455
21;570.36;1041.45;1808.37;3160.13;5008.13;7973.45;16929.79;0.123044000176696;0.266984289861924;0.61094285837923;0.813352634826514;0.909394854258327;0.964683935964486
22;538.25;1047.99;1858.27;3148.78;5020.02;7702.38;17721.15;0.089927062650946;0.203731433467153;0.529401281680702;0.756729019999266;0.879789105352489;0.956932905677819
23;556.92;1037.56;1784.35;3147.87;5075.6;7975.66;18087.46;0.114512061151727;0.244811087990714;0.593563976308564;0.787646309678571;0.887297482198675;0.965772483331588
24;591.5;1043.72;1764.92;3136.27;4988.5;7725.14;15329.97;0.123085175201078;0.284498376369485;0.642402836989554;0.821758661244237;0.900085382302082;0.95698582418088
25;555.28;1032.06;1760.32;3225.05;4843.91;7719.27;18001.14;0.223744238316413;0.40926302185505;0.753164646309342;0.887668826090156;0.945719411165887;0.979747901164606
26;567.34;1033.36;1716.76;3180.38;4985.06;8071.68;21940.41;0.203022636560323;0.384493964186553;0.698890389899807;0.85347406231959;0.924830815101524;0.97595648031564
27;551.86;1053.35;1812.04;3194.82;5221.24;7769.1;18994.13;0.113560670582818;0.256594173226669;0.543467082602397;0.680750772267006;0.775045306611874;0.886488976939069
