j;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14;I_15;I_16;I_17;I_18;II_1;II_2;II_3;II_4;II_5;II_6;II_7;II_8;II_9;II_10;II_11;II_12;II_13;II_14;II_15;II_16;II_17;II_18;III_1;III_2;III_3;III_4;III_5;III_6;III_7;III_8;III_9;III_10;III_11;III_12;III_13;III_14;III_15;III_16;III_17;III_18;IV_1;IV_2;IV_3;IV_4;IV_5;IV_6;IV_7;IV_8;IV_9;IV_10;IV_11;IV_12;IV_13;IV_14;IV_15;IV_16;IV_17;IV_18;V_1;V_2;V_3;V_4;V_5;V_6;V_7;V_8;V_9;V_10;V_11;V_12;V_13;V_14;V_15;V_16;V_17;V_18;VI_1;VI_2;VI_3;VI_4;VI_5;VI_6;VI_7;VI_8;VI_9;VI_10;VI_11;VI_12;VI_13;VI_14;VI_15;VI_16;VI_17;VI_18;VII_1;VII_2;VII_3;VII_4;VII_5;VII_6;VII_7;VII_8;VII_9;VII_10;VII_11;VII_12;VII_13;VII_14;VII_15;VII_16;VII_17;VII_18
T. PERDIGAO,BRF,LANCHES PRONTOS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;23.5870786516854;23.9694727104533;21.3699843668577;21.3935443823712;21.1574858757062;22.3943089430894;23.6651162790698;N/A;N/A;N/A;N/A;N/A;N/A;N/A;18.6708860759494;21.9857954545455;21.1543778801843;22.108;22.5948905109489;23.3521634615385;19.4719535783366;21.1143430290873;21.5296367112811;21.8848408710218;22.8655054254712;N/A;N/A;N/A;N/A;N/A;N/A;N/A;18.3805309734513;20.4192037470726;20.0777696258254;21.2944881889764;19.1214859437751;19.2303178484108;20.9687714481812;21.2285839160839;21.5412844036697;20.8959314775161;21.493487698987;N/A;N/A;N/A;N/A;N/A;N/A;N/A;21.7458646616541;21.1844616083598;20.5388113023709;20.932718579235;21.4199623352166;19.141397495056;20.0983292248699;19.3731953801732;19.9638706417383;21.2427242724272;20.9671199011125;N/A;N/A;N/A;N/A;N/A;N/A;N/A;23.287812041116;22.5719509010185;22.5624476110645;23.4998671272921;23.3211839530333;21.5841247088335;21.6255885363357;22.2911611785095;22.0411551098046;22.0010720028587;22.9505541346974;N/A;N/A;N/A;N/A;N/A;N/A;23.2344680851064;21.1469986991266;20.7349120332566;20.6354397634885;21.8341274951706;22.6600358959019;19.1955877510701;22.0207385603425;21.4426877470356;21.5168588527222;21.5647951037786;22.4161092530658;N/A;N/A;N/A;N/A;N/A;N/A;N/A;18.55;17.52;17.7543859649123;18.5833333333333;24.5357142857143;21.6821428571429;24.2601809954751;22.7848518111965;21.8148148148148;22.7813362782993;22.8483412322275
T. SADIA,BRF,LANCHES PRONTOS;25.4153723616089;24.4428090086895;24.4652207591015;23.9761651738272;24.2020900321543;24.2306362378976;24.9179755671902;24.5489577619309;24.3158113730929;24.8336047774159;25.4749936532115;27.1596001934548;26.8597480106101;26.4042156314121;26.5452542684046;26.1334981458591;25.5458998261969;27.12732305259;22.4308804279779;22.3882543843225;23.3015309810106;23.7480535036933;23.1242513939561;23.7375937680323;24.5043067518755;24.121630227128;24.5671344222069;24.3838770153731;24.2682908545727;25.9387030958928;26.2804888771652;25.8094984465158;25.3687214611872;25.5810763888889;24.643768115942;25.2979233226837;22.8205607476636;21.8056719022688;21.9047246829946;22.1860465116279;22.2504449278228;22.834565814494;23.6152641470035;24.1283104085403;24.0160628844839;23.9563935116916;24.6240738491437;26.3795940756994;26.4772636881877;25.1368173810922;24.5725405985774;23.2059315953121;23.3139633628533;25.4581699346405;21.6983647613435;21.6077333434225;22.66790241569;22.5622014371161;21.8692518605562;22.672341989221;23.4652429534843;23.8371226595338;24.1090522037834;25.0737456747405;25.6508944027698;26.5533076238505;26.6995316586582;25.3439627582194;25.6073715175636;25.7692623913554;25.5119806270711;26.3097531607465;23.086948220559;23.1171898695784;23.5913926303442;23.8505765599261;23.3741257240935;24.1890964240102;24.9503723999537;25.1199238029267;25.1114934310483;25.6321789529147;26.5080129883733;26.9049805311792;27.2866276549632;26.3808226091345;26.1249937478117;26.7455844413574;26.932446661125;27.2009683707477;23.5085955847816;23.8209303389288;23.840517835009;24.055281706362;23.7933089530001;24.4225091274671;25.5341203729244;25.3535196183429;25.4925714956838;24.8648299854113;25.8505778908367;27.0477400954802;26.7814951980416;25.6209739150916;26.4269300043476;25.5001678040049;25.3326259034071;26.0107216230098;25.3316341829085;24.3813854971343;24.6574899831976;25.1291696238467;24.5377306527127;25.3384036380743;25.580006287331;25.3214581607291;25.0365872890711;24.8849516078676;26.3505529465233;28.3132823931068;27.5842682140554;25.2809518587564;26.9233086825527;26.6658694428813;26.73558787454;27.4134568503169
T. JBS FOODS,LANCHES PRONTOS;25.6942148760331;23.4615384615385;23.7678571428571;21.8932584269663;21.0632653061224;19.701317715959;19.6047156726768;21.3427419354839;20.3822393822394;21.5565693430657;21.0879541108987;22.0169491525424;22.719298245614;22.215367965368;22.234762979684;22.5968712394705;21.5769540692989;22.7284069097889;20.6736111111111;18.6626947754354;19.7795031055901;18.5483271375465;16.3888888888889;17.9424558223833;18.5026135906715;18.8415300546448;18.9543128654971;19.7058582548136;19.6162949476559;20.468330134357;20.8827323365582;20.5035377358491;20.4543633762518;19.6874522779333;20.1133029843197;20.5737051792829;19.7480620155039;21.0197568389058;20.3588888888889;17.5797752808989;17.527392257122;17.7615729218517;19.5957565605807;19.3740648379052;19.5556414219475;19.3603765127745;19.5131112686038;21.3685245901639;21.8181818181818;20.9410430839002;19.8962264150943;20.6318373071529;21.0155799192152;21.1919104991394;20.5828047921071;20.6573866187696;19.5843471208435;20.0557818865559;19.7397310069066;19.9854159761352;20.1716529543755;20.5358688930117;19.2400887163848;20.9110271384404;21.6832061068702;22.7896656534954;23.4976367319379;22.9642857142857;23.145816072908;21.9770220588235;22.4198473282443;22.2676056338028;21.4723779023219;20.6745932415519;20.6485;19.2424006235386;19.9305555555556;20.3369364619035;21.2903325123153;21.61784409257;21.5498872604284;22.3214659685864;22.5827543931344;22.7745664739884;22.6865335051546;22.8520048602673;22.3963190184049;22.6023962106436;22.8194905869324;22.8647702407002;22.7832919768404;21.8218009478673;21.547428936442;20.1263322069145;17.9061984833498;18.9122679286494;20.0804020100503;20.6210350584307;20.638784568112;19.9965775749674;20.816415820791;21.5448321923526;22.1952033036849;21.4131970539606;21.6763581763582;21.7115001423285;20.9551881140666;21.4990737310115;22.5330112721417;22.3562691131499;20.4020979020979;19.8678362573099;19.6352848101266;18.4523212045169;19.5522101217168;20.6370038412292;19.9502633118783;21.2863354037267;21.9627279936558;22.1857273559012;22.5037037037037;21.1665332265813;22.1686643835616;21.5419039869813;21.1508462104489;21.2251705837756
T. MARCA PROPRIA,LANCHES PRONTOS;22.1515151515151;24.5535714285714;24.2;23.5147058823529;21.1136363636364;18.6666666666667;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;31.2142857142857;21.825;23.5138888888889;22.56;21.5890410958904;20.9295774647887;21.2307692307692;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;26.9090909090909;23.3291139240506;23.641975308642;23.1484375;20.0552486187845;20.7142857142857;20;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;35;23.0451612903226;20.0136363636364;20.7184265010352;19.4411492122336;19.3631739572737;18.6135593220339;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;26.8767123287671;22.3333333333333;20.0162866449511;20.8135048231511;19.3511811023622;18.8456014362657;17.9941860465116;16.5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;26.8785046728972;26.8;30;23.3333333333333;24.5714285714286;20.6666666666667;24;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;24.6666666666667;25.4634146341463;26.4406779661017;24.9649122807018;24.4090909090909;22.7821782178218;20.6578947368421;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;32.7058823529412
T. OUTRO FABRICANTE,LANCHES PRONTOS;23.6157517899761;23.7333333333333;23.1877551020408;22.7012195121951;21.7131782945736;21.7682119205298;23.3643410852713;24.2;23.7894736842105;23.2641509433962;23.3965517241379;23.3921568627451;24.1;44.8461538461538;58.5;59.5555555555556;55.1176470588235;57.2608695652174;20.0773480662983;21.3039513677812;21.3104395604396;20.7427385892116;21.0299212598425;21.5769881556684;20.1418181818182;19.6995940460081;21.0323886639676;20.152027027027;20.6124837451235;21.2308673469388;21.7052767052767;21.9185082872928;23.5200764818356;21.1339031339031;22.1386768447837;23.1580161476355;19.3888888888889;19.4942528735632;21.3108108108108;20.5911330049261;20.375;21.6739130434783;21.8846153846154;21.7777777777778;20.8148148148148;24.8620689655172;27.8;24.75;N/A;N/A;N/A;N/A;N/A;39.4509803921569;20.8253012048193;20.3049645390071;21.6377245508982;21.2309941520468;22.2760736196319;21.241134751773;22.491961414791;23.2879377431907;24.5947136563877;28.1530054644809;27.8969072164948;21.7571428571429;25.4791666666667;26.2238805970149;25.9054054054054;26.6440677966102;26.6744186046512;29.1739130434783;21.7014218009479;22.1209677419355;23.0932203389831;22.6129032258064;21.5304347826087;21.7010309278351;22.0555555555556;22.5333333333333;24.28125;27.0483870967742;26.1333333333333;21.7384615384615;24.2;24.6938775510204;26.3015873015873;30.8679245283019;33.6382978723404;46.7064220183486;21.0793854033291;22.112927191679;22.5889261744966;22.4178525226391;23.4148471615721;23.3135935397039;24.7425531914894;25.0871212121212;24.0912698412698;19.7250673854447;26.9613733905579;28.5845070422535;28.5507246376812;30.4042553191489;31.2054794520548;34.2727272727273;33.53125;69.1791666666667;23.7666666666667;23;24.3076923076923;22.15;21.9;21.5294117647059;21.6842105263158;22.5;20.4285714285714;23.4285714285714;20.7;21.5;23;N/A;N/A;N/A;40;40.25
T. AURORA ALIMENTOS,LANCHES PRONTOS;25.9322033898305;25.1388888888889;23.96484375;23.7196261682243;23.9592476489028;24.3253968253968;23.9264705882353;24.4147286821705;24.2843450479233;24.7546468401487;24.5945017182131;24.7546468401487;24.9292929292929;24.7088607594937;24.9615384615385;25.4529914529915;24.8583333333333;24.3518518518519;22.7490347490348;22.6430020283976;20.78739184178;21.475884244373;22.1325503355705;22.4748677248677;22.6012058570198;22.7340277777778;22.8730512249443;22.8570544554455;23.3908959537572;24.0399137001079;24.0667938931298;23.2793129200896;24.1511746680286;25.565280816922;25.0174854288093;24.5884645362432;20.6078610603291;21.4941176470588;21.4344919786096;22.2991596638655;21.6284289276808;19.5372093023256;21.6363636363636;21.5537555228277;19.6198830409357;18.0115555555556;17.4713919726729;17.8984725965858;17.4258503401361;16.6251748251748;17.5065034429992;18.4117647058824;14.2387440758294;15.9794589178357;20.9517153748412;20.0787486515642;20.7324350336862;20.8834080717489;20.9085768143261;21.0199275362319;21.4953271028037;21.9752130131681;22.0481530343008;20.0929577464789;20.1253347616497;20.4264012572027;19.6627160493827;21.4335260115607;19.8212365591398;19.4819787985866;18.8768472906404;19.7840552416824;22.3131067961165;20.7639939485628;25.0956375838926;21.2262626262626;21.252380952381;22.2073791348601;21.6482910694598;21.218878248974;21.6494845360825;22.2245295262816;21.1096525096525;23.193689745837;22.1123872026251;23.1090706733445;22.3756735950731;20.9049853372434;21.6383549396513;22.8618864292589;22.8434004474273;21.0295809367297;22.2800397219464;22.3;21.5684830633284;22.7724288840263;25.2105263157895;22.7567067530065;22.3261964735516;22.0852329038652;23.0182481751825;21.6928675400291;22.9247083775186;22.1738683127572;22.7561214495593;22.5902777777778;22.3649956024626;23.4228136882129;24.1935483870968;24.3913043478261;24.6382978723404;25.2556390977444;24.9395973154362;25.3317757009346;26.8068669527897;27.4166666666667;27.6991150442478;25.841628959276;25.981981981982;24.9669811320755;26.1030927835052;26.8977272727273;26.8579881656805;27.7103825136612;23.6980519480519;23.455737704918
T. MASSA LEVE,LANCHES PRONTOS;23.640826873385;23.7659574468085;23.5056179775281;24.2082429501085;23.0645669291339;22.7152230971129;23.8071539657854;23.6054794520548;25.0439367311072;24.621387283237;23.9777777777778;23.1747747747748;24.6900647948164;25.3659340659341;25.9459854014599;25.9843505477308;26.5086505190311;27.0612582781457;18.693967902601;18.4684854186265;19.5147857573929;20.8777633289987;20.9830053667263;21.4153374233129;21.3477822580645;22.8180797304885;22.3316862260655;22.8922114047288;22.5053859964093;20.031007751938;22.2301038062284;22.0315552216379;23.0940325497288;21.6299019607843;23.7490347490347;23.7239057239057;20.0888888888889;19.3407079646018;20.4621848739496;20.9503311258278;21.9128329297821;20.508038585209;21.839590443686;22.1769616026711;21.6104712041885;23.0414593698176;23.1255060728745;22.3831282952548;21.8348115299335;23.2774274905422;22.1890459363958;22.0354609929078;23.0865384615385;22.0254777070064;18.7354452054795;19.5995423340961;19.4732214228617;19.8730420445177;19.7219545767378;19.8546734955186;21.5378378378378;20.7444051825677;20.8344113842173;21.1592140921409;21.0206489675516;20.3331177231565;21.7369505494505;21.7524916943522;21.2419724770642;21.1408518877057;21.2590005373455;20.1942649434572;18.9751308900524;19.1718931475029;19.390243902439;20.374358974359;19.7992565055762;20.1017639077341;21.0006640106242;21.0863764044944;20.8048327137546;20.8445262189512;20.5956340956341;20.6318082788671;21.913112164297;21.6248164464023;21.4212421242124;20.9515625;20.7459562321598;20.0051736881005;18.7206537890045;19.5161290322581;20.0416272469253;21.5057471264368;21.4565756823821;20.4827586206897;22.2338028169014;21.7093596059113;21.4016887816647;21.5972850678733;22.7562814070352;20.6272264631043;21.8341013824885;21.0465753424657;20.8945945945946;20.6524390243902;23.8966267682263;23.6997635933806;17.9026548672566;19.2509652509653;19.289972899729;19.7959183673469;19.4841849148418;19.61328125;21;22.9813664596273;22.2584269662921;22.1640625;21.8106060606061;19.2088353413655;24.6678966789668;25.8171428571429;25.1608391608392;21.4567901234568;24.4385964912281;23.2133333333333
