j;I_1;I_2;I_3;I_4;I_5;I_6;I_7;I_8;I_9;I_10;I_11;I_12;I_13;I_14;I_15;I_16;I_17;I_18;II_1;II_2;II_3;II_4;II_5;II_6;II_7;II_8;II_9;II_10;II_11;II_12;II_13;II_14;II_15;II_16;II_17;II_18;III_1;III_2;III_3;III_4;III_5;III_6;III_7;III_8;III_9;III_10;III_11;III_12;III_13;III_14;III_15;III_16;III_17;III_18;IV_1;IV_2;IV_3;IV_4;IV_5;IV_6;IV_7;IV_8;IV_9;IV_10;IV_11;IV_12;IV_13;IV_14;IV_15;IV_16;IV_17;IV_18;V_1;V_2;V_3;V_4;V_5;V_6;V_7;V_8;V_9;V_10;V_11;V_12;V_13;V_14;V_15;V_16;V_17;V_18;VI_1;VI_2;VI_3;VI_4;VI_5;VI_6;VI_7;VI_8;VI_9;VI_10;VI_11;VI_12;VI_13;VI_14;VI_15;VI_16;VI_17;VI_18;VII_1;VII_2;VII_3;VII_4;VII_5;VII_6;VII_7;VII_8;VII_9;VII_10;VII_11;VII_12;VII_13;VII_14;VII_15;VII_16;VII_17;VII_18
T. PERDIGAO,BRF,LANCHES PRONTOS;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.002530568406778;0.007656303161496;0.013551890811404;0.011422465155552;0.00998851205639;0.008674442480114;0.015225134808065;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.000570265810002;0.002568970111426;0.006289130947851;0.009091908262533;0.012069431014989;0.01215841989825;0.015034545008927;0.014518512973427;0.018952586682728;0.017079237389413;0.025344875363423;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.001874386347784;0.013961457846123;0.021999697525303;0.031573505540623;0.04930498024175;0.033824912540557;0.047907619691573;0.037934557975564;0.034281043189598;0.038016067751368;0.046277695061784;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.004407589543682;0.014427004921979;0.020429406622733;0.01974334754307;0.017994739682537;0.020600340643078;0.024592794585284;0.027930273085077;0.026669700107196;0.022767152661849;0.027755454863291;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.013311343837734;0.024799364465903;0.023421990358127;0.025015103794601;0.027450589982537;0.036611097353862;0.031553562146747;0.033783494113896;0.037223195213745;0.036706184176418;0.038971622803088;N/A;N/A;N/A;N/A;N/A;N/A;0.021197736558477;0.08776358335685;0.111199259731661;0.09039971346518;0.066982447261082;0.058639919019679;0.07855739765077;0.064481122534908;0.057325671435539;0.058494614770988;0.063537206866205;0.061774789288206;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.002473615556277;0.001835012602259;0.002784858408532;0.002060962590867;0.002781388760575;0.01323606279678;0.010135602922122;0.021618079347929;0.036747060207201;0.043377605091146;0.040105820528486
T. SADIA,BRF,LANCHES PRONTOS;0.036322644975962;0.040583861681505;0.046180088803369;0.046955466447682;0.044374416773066;0.041364556541452;0.044947632145963;0.051681177517205;0.051176543638336;0.052221668998011;0.055605804699891;0.044093021986642;0.042722313293382;0.037859138426231;0.038620836562563;0.045653707647567;0.044634590615153;0.03581801481823;0.126703687968067;0.116060010000215;0.111235453858415;0.109857019842941;0.105754056452157;0.101564127719285;0.104520391347849;0.102019831553847;0.095175963702004;0.096619310126259;0.097028844977753;0.082760763888059;0.08309958503774;0.081897557797662;0.082917164363785;0.083492848407278;0.098699110541832;0.081549416217891;0.177168752130507;0.188970465795512;0.189414262118481;0.177482685356261;0.165020386078272;0.157139686467517;0.160895296093093;0.161595325664748;0.143505476549492;0.15323927241763;0.136453895598921;0.120325273066545;0.124763479361086;0.111992692292037;0.123536010260457;0.138415298479679;0.134204045599368;0.102467255346641;0.176341325127947;0.171500556505258;0.163477704512815;0.161085984552104;0.164816948817593;0.159511157589184;0.152187096093781;0.138762849152675;0.135480129365004;0.122722411462836;0.116855263975887;0.114237791845261;0.111631575646947;0.115756552984965;0.116512787410005;0.114737658773456;0.107189366807599;0.091177870018148;0.172568628440458;0.172706959907497;0.162851539636101;0.163021495396855;0.153767365126196;0.162518604593898;0.167726982825144;0.1504970239667;0.144936061117258;0.136625004947364;0.126930213089055;0.115543615907416;0.121070491446493;0.127990549424316;0.130066127059333;0.129737285617888;0.118342521612196;0.105671904081417;0.197565200914656;0.198836081280672;0.197151038895844;0.195743910777805;0.195486584156649;0.171979674749897;0.163511221530007;0.167519004768298;0.140569534108118;0.148845500127165;0.155987584523135;0.141460253345557;0.137361200963057;0.146518986354072;0.140316302186624;0.152644391019665;0.147379944718655;0.134086415545303;0.166468443971842;0.193268803900991;0.186090011397937;0.172318257450976;0.174329892547051;0.154775340182454;0.155997694854283;0.149282698821313;0.155144198812286;0.156489499693447;0.161957310265605;0.152752877377653;0.183295833908983;0.209109871146674;0.173276855541799;0.166793169829363;0.136695743928863;0.146191418075694
T. JBS FOODS,LANCHES PRONTOS;0.000875157316227;0.001403414262794;0.001201898515719;0.002537747996869;0.003495733797235;0.004884507627561;0.005141558428881;0.00351534065394;0.003676761387609;0.003884022069885;0.003691525242199;0.003774527595503;0.004844506348255;0.006525246018623;0.006282001320806;0.005861902202585;0.008752018794976;0.007378879288374;0.003115132502544;0.007902482113851;0.009413973623079;0.011799376457477;0.021752125055348;0.016167919062065;0.018056558299674;0.021135927742848;0.019967904047901;0.017686369405189;0.015979937962228;0.0191246154465;0.024923299442867;0.024660143457583;0.025447443752321;0.028475989704184;0.028279440803073;0.025431722452047;0.017087677775578;0.010850136692273;0.014805700530366;0.036156287760271;0.044673306019607;0.033350267284306;0.030085975705025;0.033257917055822;0.042309429632044;0.036009776360199;0.023385940324314;0.025164021040384;0.022924855149737;0.029001043629353;0.026361865026725;0.023604426648173;0.028214923089131;0.019455384103398;0.009215834574122;0.014450143367153;0.016070159424723;0.020634473794941;0.017759946188688;0.01964907571642;0.017592438827372;0.021434803886117;0.023642983531839;0.019314713439031;0.01236656400068;0.011149283155471;0.010055736483981;0.009430269082278;0.008111607221773;0.007331135350336;0.007158708667752;0.009256392734383;0.008230419158475;0.01046351690674;0.013174092111483;0.016807150033683;0.019952478529999;0.024602213730231;0.02102331803404;0.021397187059773;0.022979405882743;0.018749371996657;0.01626679749811;0.015101853441959;0.020362093923381;0.026579919802224;0.021208201581225;0.023101166803066;0.017766134167218;0.015183317664971;0.011219179328597;0.019189687211372;0.028337690069453;0.03469050650768;0.053538381845421;0.04999504381586;0.050261186427164;0.048848156876745;0.048356117846342;0.0512465485793;0.049290109935586;0.052526843405453;0.054285739831988;0.057398034282144;0.063844309658978;0.059988784612606;0.070553689263617;0.069703242595681;0.015498786162896;0.015748541957544;0.020636581333777;0.020913003565733;0.030343291679905;0.038687767328028;0.038276076967547;0.038637874989046;0.041813820496798;0.039330017874875;0.030938974131939;0.027143374243826;0.025526692536648;0.02864110418491;0.027716703269354;0.028839167940389;0.032551168039132;0.031338612130967
T. MARCA PROPRIA,LANCHES PRONTOS;0.000238679268062;0.000403031788289;0.000357707891583;0.000484738381424;0.000627805253381;0.000257455746109;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;9.91404127036801E-05;0.00028843819468;0.000521520359484;0.00036544928661;0.000533676878188;0.000516867764033;0.000190469368198;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;7.96098312386223E-05;0.001308068356851;0.001335655124733;0.002105699630985;0.002941253071734;0.00114212250598;9.96025901970317E-05;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1.67430155795165E-05;0.001006662691324;0.002854990157857;0.003147561639149;0.006977310318001;0.006346065831872;0.001921271904655;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.001001803809652;0.000889596946673;0.002010200056551;0.002048571323336;0.004159212888304;0.003675109305955;0.001115628990667;1.29453928781032E-05;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.000710991242955;4.63985911025496E-05;3.63785539552069E-05;5.43041010593152E-05;6.31228348203176E-05;5.29558673050655E-05;1.8199870337044E-05;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2.58255808061062E-05;0.001023269295779;0.001420740023693;0.001370961696999;0.002152449489806;0.002424582642144;0.000922293073065;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0.000403909329967
T. OUTRO FABRICANTE,LANCHES PRONTOS;0.003030503433877;0.00237500875242;0.001752768668757;0.002338149839812;0.001840610856503;0.001079883823956;0.000919918220979;0.00113398085611;0.000809171425072;0.000375644470263;0.000409385208504;0.000362525249286;7.08261162025559E-05;9.18054093529204E-05;9.92641292226696E-05;6.34863054431555E-05;0.000119890668424;0.000162873535156;0.002610365661854;0.00238305830931;0.002660470806522;0.003523729524476;0.004622690565645;0.004329515254046;0.001996603752477;0.005334511817611;0.003605316008649;0.006434041799184;0.00559334196311;0.005755738391576;0.005677339099123;0.005263544771017;0.003808015188116;0.005087845449818;0.005621558035209;0.006274702153081;0.004768654262952;0.002869185082759;0.002434715198327;0.003298753445094;0.000652641431988;0.000763619858177;0.000873517999253;0.000597149632922;0.000441404404971;0.000468078670751;0.000165740186565;6.60039896141224E-05;N/A;N/A;N/A;N/A;N/A;0.001707787589111;0.003234309808254;0.00274468371994;0.002176574715271;0.002211529313027;0.002104595586155;0.001836605685128;0.002046091426819;0.001703384229664;0.001487928267737;0.001214219360819;0.00130813163366;0.000948875162168;0.000325911783411;0.000451305734652;0.000497314775817;0.000397552376535;0.000293725641902;0.00031563681674;0.001390407079614;0.000811937482125;0.000777271434578;0.000812192752992;0.000758774811822;0.000629162861016;0.000815559751321;0.000684136614274;0.000621765209905;0.000405745572004;0.00049857368711;0.000436469752658;0.000131199058785;0.000316504512833;0.000409851748349;0.000341142892327;0.000308234885884;0.000724280798898;0.007247459930218;0.006120691702964;0.005394207371892;0.006970564473729;0.00606344680643;0.006761251830212;0.004239547311695;0.00430581416209;0.002080188067135;0.003098511982223;0.00200990472786;0.001245418561291;0.001189871679926;0.001621949563361;0.000636177259774;0.000281757741562;0.000270514983997;0.002066046464489;0.000748733631058;0.000288964072615;0.000312675474754;0.000489193065865;0.000480115374682;0.000412604795845;0.000465884344896;0.000296833866753;0.000171267842877;0.000171000077717;0.000245352689389;4.96676564388402E-05;2.36358264228218E-05;N/A;N/A;N/A;2.39522943628636E-05;0.000190074978808
T. AURORA ALIMENTOS,LANCHES PRONTOS;0.000853459200949;0.001036367455601;0.001831464404905;0.002288250300547;0.002275794043506;0.00180219022276;0.001939672527955;0.001828544130477;0.00222167242147;0.00190657287737;0.002053984408183;0.001912142981526;0.002103535651216;0.002231577642733;0.001659129017007;0.001650643941522;0.001692574142461;0.001147196204143;0.007470549242213;0.007141931589603;0.005912969457353;0.00454721942785;0.00433877728681;0.005538263167612;0.008429298024094;0.010394718562056;0.00983068960253;0.011708796787704;0.010066560828277;0.006805573327795;0.007657466378225;0.009734649790596;0.014256393381129;0.009936518677637;0.008589683460923;0.009285401225378;0.018114263068297;0.01541774742747;0.012305182218571;0.00966876009769;0.013085460711368;0.021414556892362;0.011826089836034;0.01126290557651;0.013977806157418;0.01815822429638;0.019408175846755;0.01836561011013;0.024314240310327;0.023509916320847;0.021669784647754;0.016883951739927;0.027482279385143;0.033419059096715;0.005111248632723;0.006014945173485;0.006770841704091;0.007210102877267;0.006849619377026;0.007190115873692;0.01055941073969;0.008556688873524;0.009937001118455;0.011777264292092;0.012589081237333;0.01293859060413;0.013749403362634;0.010487806400791;0.010000059275889;0.009534518860961;0.011093266103463;0.010930640197088;0.002714918089105;0.00432815061036;0.003925879449222;0.00324222107041;0.002771177573611;0.005098165038745;0.00587073567022;0.004762893952708;0.004397693515891;0.010084740749336;0.0086087056641;0.007661722888962;0.007996582632926;0.011607318562478;0.008450752715954;0.010974502479584;0.014670668930257;0.013807848624862;0.008296068089136;0.011068175040872;0.009114038294455;0.00703368730855;0.005992838983357;0.008317340744029;0.006512666295839;0.008815502100795;0.006554243354386;0.008426950377528;0.007090736851077;0.012050740163482;0.008130789812828;0.00838582433823;0.008897766879855;0.012294883268169;0.00961173552513;0.01132021292001;0.00077369141876;0.001661543417539;0.002260884202069;0.003253133888003;0.003576859541381;0.005193966253575;0.005713213282152;0.002671504800779;0.002764752320736;0.005398716739346;0.005446829704433;0.005264771582517;0.004585350326027;0.004035896186184;0.004010379154555;0.00429419669088;0.007377306663762;0.007246608567055
T. MASSA LEVE,LANCHES PRONTOS;0.002799056870907;0.003044329400829;0.003183600235089;0.003286241085833;0.004530185635192;0.005449479959299;0.004585328806894;0.005173787656001;0.004038759130404;0.004904641007956;0.005399649732853;0.007890255425628;0.006558498360357;0.006426378654704;0.004856852036966;0.004507527686464;0.004076282726427;0.004277200662359;0.01303019544467;0.015399337281437;0.012110989358262;0.011243767652788;0.0081388473266;0.011940964237048;0.014404588526961;0.012856245665988;0.011815802870451;0.010419090210841;0.008102708643569;0.011364646722143;0.008446594592775;0.009676489074895;0.004026448181698;0.002957038381091;0.001852396350024;0.002149465443443;0.001490204457172;0.003726642693699;0.003915285251363;0.004907505125214;0.00673852278528;0.005162734258546;0.004921937957327;0.009935906392238;0.015612637286941;0.00973280822286;0.008187565216308;0.009389067522609;0.014919350176813;0.01303731723247;0.009384160757941;0.007001874103911;0.005079663014316;0.007885960337952;0.007585690473978;0.005671048631743;0.008152380146119;0.007843815955269;0.009380298732157;0.010172971915495;0.009737026725696;0.011254266233342;0.010133643620799;0.009793375828241;0.009143435542487;0.010478292862223;0.009885990763454;0.012165047116139;0.011720499581418;0.01392107135459;0.012712172548365;0.016989494744502;0.005034459757466;0.005637727194433;0.008372135536848;0.00766343162097;0.008874366277397;0.009560681001413;0.009747880837212;0.009278195606917;0.006968951727687;0.007113636076916;0.006395038493331;0.009246443837073;0.00830490042107;0.008797533601611;0.007227703054215;0.00823892268262;0.006892656703487;0.008990384595495;0.006245250362403;0.010713484139809;0.009566572469949;0.007845266613382;0.007113738174647;0.008444739836388;0.006404422534689;0.006621820264427;0.006843158363711;0.005537233003272;0.003433227818404;0.006893654853345;0.005613090316173;0.006297995644967;0.006448920167574;0.008401503566582;0.007768852196653;0.007282813787322;0.005640460020635;0.006236807900618;0.0088751730911;0.007191138068217;0.009866370949716;0.012426685616029;0.003874196131244;0.003982521045606;0.004355096576027;0.003126858563965;0.003238655499933;0.006183623226636;0.006405308960585;0.004012964957854;0.003393397746162;0.001900710010717;0.002730561557366;0.00356390585265
Outside good;0.955880498934016;0.951161183654781;0.945499625638409;0.942109405947833;0.942855453641116;0.94515477453036;0.942458758720327;0.936674256566618;0.938077091997109;0.936707450576515;0.93283965070837;0.939444066692858;0.936044017069092;0.933313963036952;0.937059451777883;0.932267166126091;0.932050200572444;0.93589156027097;0.846788841940838;0.8505916603461;0.858300693609758;0.85849521021628;0.854876635549408;0.860268741191745;0.852592560048946;0.847681280293092;0.857035353657039;0.850850506265539;0.85413669736253;0.862119231208939;0.858037295551021;0.85373307009932;0.855026022159525;0.851097172697264;0.839878573419526;0.849877570056114;0.780062379948642;0.776846656752996;0.775019155051907;0.765561005160705;0.768671244431704;0.782069532648895;0.791397182409268;0.781459821840171;0.770191788123011;0.760408283150696;0.780825177286514;0.777385044028969;0.779236622161949;0.774534970332796;0.781097041542234;0.779829958732575;0.767019302131874;0.7887868584644;0.797498434093644;0.796763632444565;0.800211294548598;0.794043249649371;0.792736069651828;0.799731826887661;0.80787135711453;0.813873790126794;0.80488475442411;0.814748608994248;0.827994176066884;0.832259204367941;0.833751041316495;0.827129695908866;0.825234179119964;0.827408363176926;0.83878560756907;0.842572706816197;0.809164980921198;0.804041507842293;0.808850510508433;0.804294296236787;0.81020072837502;0.796469057568969;0.794809050185626;0.800075734548697;0.795303234801549;0.803599510299596;0.816292215422853;0.824552589270125;0.805523635163484;0.793161071225563;0.798847364143721;0.790383784310769;0.805307041335479;0.815939650188314;0.769380442783887;0.754035502070358;0.750391199480858;0.747643923936202;0.731760880144075;0.754474649218108;0.74787321934213;0.676126118470794;0.684397498528646;0.692445542465333;0.715197362682308;0.727165629544696;0.714870532003809;0.715296087282318;0.722539567168639;0.707894065020429;0.700886510038994;0.713732045291248;0.809846615499031;0.781374598727;0.780453712803364;0.7936828244714;0.778954881496386;0.787557071880661;0.795648414191199;0.802654950920226;0.793915851349016;0.792674620059587;0.796136450386773;0.805824297152354;0.766950751470977;0.744087491830586;0.77000831499437;0.76142569532145;0.777219710131005;0.770959650536374
