id;populacao
1;1521914.56
2;695191.65
3;3417647.22
4;424195.2
5;7404789.15
6;629452.92
7;1308740.4
8;6415764.48
9;3170174.65
10;8509772.13
11;3166135.84
12;3805128.48
13;8768807.24
14;3183530
15;2036343.6
16;14583901.5
17;19981227.5
18;3458603.14
19;15703799.09
20;40931372.66
21;10644341.12
22;6106739.19
23;10885550.62
24;2381510.45
25;3019648
26;5895689.12
27;2539018.4
