id;regiao
1;Rondonia
2;Acre
3;Amazonas
4;Roraima
5;Para
6;Amapa
7;Tocantins
8;Maranhao
9;Piaui
10;Ceara
11;Rio Grande do Norte
12;Paraiba
13;Pernambuco
14;Alagoas
15;Sergipe
16;Bahia
17;Minas Gerais
18;Espirito Santo
19;Rio de Janeiro
20;Sao Paulo
21;Parana
22;Santa Catarina
23;Rio Grande do Sul
24;Mato Grosso do Sul
25;Mato Grosso
26;Goias
27;Distrito Federal
